"External ID","Issue Type","Parent External ID","Epic Name","Summary","Description","Business Value","Acceptance Criteria","Priority","Phase","Suggested Sprint","Component/s","Labels","Story Points","Dependencies","API Endpoints","Code References","Technical Notes / Risks","Definition of Done","Out of Scope"
"MOB-009","Spike","MOB-E02","","Record the React Native architecture decision","Validate Expo managed/CNG suitability for camera, gallery, document picker, file system, secure storage, notifications, deep links, background upload constraints, PDF viewing, and EAS build/release. Record fallback criteria for bare React Native.","Confirms the framework choice before feature investment.","ADR compares Expo and bare React Native against every required native capability.
A proof of concept authenticates, captures a photo, uploads multipart data, and opens a deep link on iOS and Android.
Background-task limitations and required development-build plugins are recorded.
Team approves the chosen approach and upgrade policy.","Highest","Foundation","Sprint 0","Mobile App,Architecture","mobile,react-native,expo,spike,adr","5","MOB-001","","","React Native currently recommends using a framework for new apps: https://reactnative.dev/docs/environment-setup . Expo Router docs: https://docs.expo.dev/router/introduction/ .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","Production feature implementation."
"MOB-010","Task","MOB-E02","","Scaffold the Expo TypeScript app and repository structure","Create the mobile project with strict TypeScript, Expo Router, linting, formatting, path aliases, environment validation, test setup, and feature-oriented folders. Decide whether it lives in a monorepo or sibling repository.","Provides a consistent base that multiple developers can extend safely.","App launches in iOS simulator/device and Android emulator/device.
Strict TypeScript, lint, unit test, and type-check commands pass.
Routing has authenticated and unauthenticated groups.
Feature, shared UI, API, storage, and test folder conventions are documented.
Repository ownership and versioning strategy are approved.","Highest","Foundation","Sprint 0","Mobile App,Architecture","mobile,react-native,expo,typescript,scaffold","5","MOB-009","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-011","Task","MOB-E02","","Configure development, staging, and production app environments","Add validated non-secret runtime configuration, app identifiers, URL schemes, icons/splash placeholders, build profiles, and safe feature flags for each environment.","Prevents accidental production access and makes testing repeatable.","Each environment has a distinct app name/identifier and API base URL.
Missing or invalid configuration fails fast with a useful error.
Secrets are stored in the build service or CI secret store, never committed or bundled unnecessarily.
Staging and production can coexist on a test device.
Environment-switching instructions are documented.","Highest","Foundation","Sprint 0","Mobile App,DevOps","mobile,environment,configuration,eas","3","MOB-010,MOB-008","","","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-012","Story","MOB-E02","","Build the mobile design system and accessibility baseline","Translate Ikoniq branding into mobile tokens and reusable controls: typography, color, spacing, buttons, fields, cards, chips, loaders, empty/error states, bottom sheets, dialogs, lists, date inputs, upload tiles, and status indicators.","Creates a coherent interface and reduces feature delivery time.","Tokens support light mode and an agreed dark-mode stance.
Components meet minimum touch-target, contrast, dynamic type, screen-reader label, and focus-order requirements.
Status colors always include a non-color cue.
Form controls expose errors accessibly.
A component catalogue documents variants and usage.
Representative screens pass iOS VoiceOver and Android TalkBack checks.","High","Foundation","Sprint 1","Mobile App,Design System,Accessibility","mobile,ui,design-system,accessibility","13","MOB-010","","src/styles/**; src/components/**; public/logo2.png","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-013","Story","MOB-E02","","Implement the typed API client and server-state layer","Create one HTTP client with base URL, bearer-token injection, timeout, retries for safe operations, cancellation, correlation IDs, error normalization, and typed endpoint modules. Configure TanStack Query for caching, invalidation, focus/reconnect behavior, and pagination.","Centralizes networking behavior and eliminates duplicated fetch logic.","Generated or contract-aligned types compile.
401, 403, 409, 422, 429, timeout, and offline errors map to consistent app errors.
GET retries are bounded; unsafe mutation retries require idempotency support.
Requests cancel on obsolete screen operations where appropriate.
Query focus/online managers react to AppState and network status.
Unit tests cover token injection and error handling.","Highest","Foundation","Sprint 1","Mobile App,Networking","mobile,api,tanstack-query,networking","8","MOB-002,MOB-003,MOB-010","","","TanStack Query supports React Native; configure online/focus behavior explicitly: https://tanstack.com/query/latest/docs/framework/react/installation .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-014","Story","MOB-E02","","Implement secure local storage and cache boundaries","Store the session token only in encrypted platform storage. Define which non-sensitive query data may persist for offline use, retention limits, logout cleanup, and protection for employee/client data.","Supports session continuity without leaking sensitive information.","Bearer token is stored in SecureStore/Keychain/Keystore, not AsyncStorage or logs.
Logout removes credentials and protected cached data.
Sensitive fields such as banking, TFN, credentials, and statement files are not persisted unless explicitly approved and encrypted.
Cache migrations and corruption recovery are handled.
Device reinstall/backup behavior is documented and tested.","Highest","Foundation","Sprint 1","Mobile App,Security,Offline","mobile,secure-storage,privacy,cache","5","MOB-010","","prisma/schema.prisma:model employees; src/contexts/auth.js","Expo SecureStore encrypts local key-value data but must not be the sole source of irreplaceable data: https://docs.expo.dev/versions/latest/sdk/securestore/ .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-015","Story","MOB-E02","","Implement authenticated navigation, permission gates, and deep links","Create the root navigation structure with login flow, role/module-aware tabs and stacks, denied-access states, session-expired redirect, and typed deep links to project, lot, stage, media, meeting, MTO, and purchase-order records.","Gets users to authorized work quickly and enables notification-driven navigation.","Unauthenticated users cannot reach protected routes.
Visible navigation reflects server-returned permissions.
Direct/deep links revalidate permission before showing content.
Denied access shows a safe 403 state without flashing protected data.
Expired sessions return to login while preserving a safe post-login destination.
All supported links work from cold start and background on both platforms.","Highest","MVP","Sprint 1-2","Mobile App,Navigation,Access Control","mobile,navigation,deep-link,permissions","8","MOB-005,MOB-010,MOB-014","","src/components/ProtectedRoute.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-016","Task","MOB-E02","","Set up mobile CI, EAS builds, signing, and internal distribution","Automate dependency install, type-check, lint, unit tests, security checks, Android/iOS builds, artifact retention, and internal distribution using protected signing credentials.","Makes every change testable and releaseable without manual build drift.","Pull requests run type-check, lint, tests, and dependency/security checks.
Staging builds are produced from the protected integration branch.
Signing credentials are access-controlled and recoverable.
Internal Android and iOS testers can install builds.
Build provenance, version numbering, and rollback procedure are documented.","High","Foundation","Sprint 1","Mobile App,DevOps,CI/CD","mobile,ci,eas,build,distribution","8","MOB-010,MOB-011","","","Expo Application Services overview: https://docs.expo.dev/eas/ .","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E03","Epic","","Identity, Access, Profile, and Preferences","Identity, Access, Profile, and Preferences","Deliver secure sign-in, session lifecycle, module-aware access, user profile, and notification preferences for mobile users.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","MVP","Sprint 2-3","Mobile App,Backend API,Security","mobile,authentication,profile,permissions","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-017","Story","MOB-E03","","Build sign-in with rate-limit and account-state handling","Create the username/password sign-in screen and integrate the existing session-token API. Handle generic credential errors, inactive accounts, network errors, loading, password visibility, and 429 retry-after feedback.","Allows authorized employees to access the mobile app securely.","Valid credentials create a session and navigate to the authorized home screen.
Invalid username/password uses one generic message.
Inactive account, offline, timeout, and server errors have distinct safe guidance.
429 response displays a countdown or retry time and disables repeat submission.
Credentials are not logged or persisted.
Accessibility and keyboard behavior pass on iOS and Android.","Highest","MVP","Sprint 2","Mobile App,Authentication","mobile,login,authentication,rate-limit","5","MOB-004,MOB-013,MOB-014,MOB-015","POST /api/v1/signin","src/app/api/v1/signin/route.js; src/app/admin/login/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-018","Story","MOB-E03","","Restore sessions, handle global 401 responses, and sign out","Restore encrypted credentials at launch, validate server session state, route reliably during the splash screen, handle revoked/expired sessions globally, and revoke the active token on sign-out.","Provides predictable access without stale or ghost sessions.","Launch does not show protected data until session validation completes.
Valid sessions restore the user and permissions.
Any protected 401 triggers one coordinated re-authentication flow.
Sign-out calls the server, clears local protected data even if offline, and returns to login.
Multi-request 401 storms do not produce repeated dialogs or navigation loops.","Highest","MVP","Sprint 2","Mobile App,Authentication","mobile,session,logout,authentication","5","MOB-004,MOB-013,MOB-014,MOB-017","POST /api/v1/signout; session validation endpoint from MOB-004","src/state/action/loggedInUser.js; src/contexts/AuthContext.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-019","Story","MOB-E03","","Load module permissions and tailor mobile navigation/actions","Fetch current-user module_access and hide or disable screens and actions accordingly, while treating server authorization as the source of truth.","Gives each employee a focused app and avoids exposing unavailable operations.","Permission data loads after authentication and refreshes on app resume or explicit refresh.
Tabs, menu entries, create/edit/delete/upload actions map to documented permission fields.
Master-admin bypass is handled.
403 responses refresh permissions and show an access-denied state.
Permission tests cover representative role combinations.","Highest","MVP","Sprint 2","Mobile App,Access Control","mobile,permissions,rbac,navigation","5","MOB-005,MOB-015,MOB-018","GET /api/v1/module_access/[userId]","src/components/ProtectedRoute.jsx; prisma/schema.prisma:model module_access","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-020","Story","MOB-E03","","Build current-user profile and password update","Show the signed-in user's account and safe employee profile fields. Allow supported account changes and password updates with current validation and re-authentication rules.","Lets users maintain their own account without desktop access.","Profile shows username, role, name, work contact details, and avatar when authorized.
Sensitive HR/banking/TFN fields are excluded from the mobile self-service view unless separately approved.
Editable fields validate locally and on the server.
Password update requires the agreed verification policy and invalidates sessions if required.
Success and failure states are clear and cached profile data refreshes.","Medium","MVP","Sprint 3","Mobile App,Profile,Backend API","mobile,profile,password,privacy","8","MOB-018,MOB-019","GET/PATCH /api/v1/user/[id]; GET /api/v1/employee/[id]","src/app/admin/settings/page.jsx; src/app/api/v1/user/[id]/route.js; prisma/schema.prisma:model employees","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-021","Story","MOB-E03","","Build notification preference settings","Allow users to view and update existing per-user notification flags for meetings, assigned installers, MTOs, stock, statements, and individual stage events.","Reduces alert fatigue while preserving operational notifications.","All notification_config fields supported by the backend are represented with understandable labels and grouping.
Current values load accurately.
Changes use optimistic UI with rollback on failure or explicit Save with dirty-state handling.
Unauthorized settings are not shown.
Preference changes affect subsequent notification recipient selection.","Medium","MVP","Sprint 3","Mobile App,Notifications,Settings","mobile,notifications,preferences","5","MOB-018","GET/PATCH /api/v1/notification_config/[user_id]","src/app/admin/settings/page.jsx; src/app/admin/site_photos/page.jsx; prisma/schema.prisma:model notification_config","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E04","Epic","","Mobile Dashboard and Global Search","Mobile Dashboard and Global Search","Provide an at-a-glance operational home screen and permission-aware search optimized for small screens and quick action.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","High","MVP","Sprint 3","Mobile App,Backend API","mobile,dashboard,search","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-022","Story","MOB-E04","","Build permission-aware mobile dashboard KPIs","Create a responsive home dashboard showing active projects, active lots, active MTOs, active purchase orders, completed projects, and average duration according to user permissions.","Gives managers a fast operational pulse and gives employees an actionable home screen.","KPI values match the backend for selected year/month filters.
Cards only appear when the user can access their destination.
Pull-to-refresh, loading skeletons, empty state, and retry are implemented.
Tapping a card opens the correctly filtered destination.
Dashboard remains usable on compact phones and tablets.","High","MVP","Sprint 3","Mobile App,Dashboard","mobile,dashboard,kpi","8","MOB-006,MOB-013,MOB-019","POST /api/v1/dashboard","src/app/admin/dashboard/page.jsx; src/app/api/v1/dashboard/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-023","Story","MOB-E04","","Add actionable stage deadlines and upcoming meetings to the dashboard","Show upcoming/overdue stage deadlines and upcoming meetings with compact status, dates, participants/lots, and deep links.","Surfaces the next operational actions without requiring navigation through large data sets.","Deadlines are ordered by urgency and distinguish overdue, due today, and upcoming.
Meeting cards show local date/time, title, linked lots, and participants.
Tapping a record deep-links to its detail screen.
Timezone behavior is correct for Australia/Adelaide and device timezone policy.
Empty and error states are present.","High","MVP","Sprint 3","Mobile App,Dashboard,Calendar","mobile,deadline,meeting,dashboard","5","MOB-015,MOB-022","POST /api/v1/dashboard","src/app/admin/dashboard/page.jsx","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-024","Story","MOB-E04","","Build debounced permission-aware global search","Search projects, lots, clients, suppliers, employees, items, MTOs, and purchase orders and route each result to its native detail screen.","Lets field and office users reach records quickly without desktop-style menus.","Search waits for the agreed minimum query length and is debounced/cancellable.
Results are grouped by entity with useful secondary labels.
Server filters out entities the user cannot access.
Pagination or capped grouped results prevent oversized responses.
Recent searches are optional, local, clearable, and contain no sensitive payloads.
Each result deep-links correctly.","High","MVP","Sprint 3","Mobile App,Search,Backend API","mobile,search,deep-link","8","MOB-005,MOB-006,MOB-013,MOB-015","POST /api/v1/search","src/components/SearchBar.jsx; src/app/api/v1/search/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-E05","Epic","","Projects, Lots, and Workflow Stages","Projects, Lots, and Workflow Stages","Deliver the core operational workflow for finding projects, opening lots, tracking stages, assignments, dates, and client context.","Groups related delivery work into a measurable mobile-app outcome.","Epic scope and success metrics are agreed.
All child tickets are estimated and sequenced.
Epic is complete only when every required child ticket meets its Definition of Done.","Highest","MVP","Sprint 3-5","Mobile App,Backend API,Projects","mobile,projects,lots,stages,workflow","","","","","","Required child tickets are accepted; release notes and operational documentation are updated.",""
"MOB-025","Story","MOB-E05","","Build paginated project list with search and status context","Show projects with client name, project identifier/name, active lot count, progress/status summary, and search/filter/sort controls appropriate to mobile.","Creates the primary entry point for operational work.","List loads incrementally and supports pull-to-refresh.
Search and filters execute server-side.
Deleted projects are excluded.
Rows show enough context to distinguish similarly named projects.
Loading, empty, offline-cache, and error states are implemented.
Tapping opens project detail.","Highest","MVP","Sprint 3","Mobile App,Projects","mobile,projects,list,pagination","8","MOB-006,MOB-013,MOB-019","GET /api/v1/project/all","src/app/admin/projects/page.jsx; src/app/api/v1/project/all/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-026","Story","MOB-E05","","Build project detail and lot selection","Show project identity, client context, lots, key dates/status, and authorized actions. Avoid reproducing the desktop tab layout literally; use native sections and drill-down screens.","Gives a compact mobile overview of each job.","Project data and non-deleted lots match the API.
Lot cards show identifier, name, status, installer, installation due date, and progress where available.
Client phone/email/address actions use native linking after confirmation.
Authorized edit actions are available; destructive actions are excluded from MVP unless approved.
Refresh and cache invalidation work after lot or project updates.","Highest","MVP","Sprint 3-4","Mobile App,Projects,Lots","mobile,project-detail,lots","8","MOB-025","GET/PATCH /api/v1/project/[id]; GET /api/v1/lot/[id]","src/app/admin/projects/[id]/page.jsx; src/app/api/v1/project/[id]/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.","Project hard-delete; desktop PDF/Excel generation."
"MOB-027","Story","MOB-E05","","Build lot detail with installer, dates, notes, and status","Create a native lot detail view showing project/client context, installer contact, start date, installation due date, status, installer notes, stages, tabs, and authorized edit controls.","Consolidates the information field staff need on site.","Lot detail maps all supported fields and handles missing installer/dates safely.
Status only permits ACTIVE, COMPLETED, or CANCELLED.
Date edits use the agreed Adelaide/device timezone policy.
Installer assignment validates against active employees.
Notes preserve line breaks and length constraints.
Successful edits refresh project, dashboard, and assigned-lot caches.","Highest","MVP","Sprint 4","Mobile App,Lots","mobile,lot-detail,installer,status","8","MOB-026","GET/PATCH /api/v1/lot/[id]; GET /api/v1/employee/all","src/app/admin/projects/[id]/page.jsx; src/app/api/v1/lot/[id]/route.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-028","Story","MOB-E05","","Build stage list with status, dates, notes, and assignees","Show the canonical project-stage sequence, current status, schedule, notes, and assigned employees for a selected lot.","Makes workflow progress understandable on a phone.","All canonical stages are shown in business order, including not-yet-created stages as NOT_STARTED where appropriate.
Status labels support NOT_STARTED, IN_PROGRESS, DONE, and NA.
Stage date range and assigned employees are visible.
Progress percentage uses the agreed denominator and handles NA explicitly.
Users without update permission get a read-only view.","Highest","MVP","Sprint 4","Mobile App,Stages","mobile,stages,workflow,progress","5","MOB-027","GET /api/v1/lot/[id]","src/app/admin/projects/components/StageTable.jsx; src/components/constants.js","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
"MOB-029","Story","MOB-E05","","Create and update stage status, schedule, notes, and assignments","Allow authorized users to create a missing stage or update an existing stage from mobile, with assignment multi-select and validation that stage dates stay within lot dates.","Enables real-time workflow updates from production and site.","Missing stages can be created without duplicate names for a lot.
Existing stage updates support status, start/end date, notes, and employee IDs.
Start cannot exceed end; stage dates must remain within the parent lot range where that rule applies.
Optimistic updates roll back on failure and conflicts are surfaced.
DONE transitions trigger existing notification behavior once.
Audit log identifies the mobile user and changed entity.","Highest","MVP","Sprint 4","Mobile App,Stages,Backend API","mobile,stage-update,assignment,audit","8","MOB-005,MOB-008,MOB-028","POST /api/v1/stage/create; PATCH /api/v1/stage/[id]; GET /api/v1/employee/all","src/app/admin/projects/components/StageTable.jsx; src/app/admin/projects/lotatglance/page.jsx; src/app/api/v1/stage/**","","Implementation is reviewed; automated tests pass; iOS and Android behavior is verified; documentation is updated; Product Owner accepts the ticket.",""
